datum,bevestigd,nieuw-bevestigd,overleden,nieuw-overleden,ziekenhuis,nieuw-ziekenhuis,totaal-aanwezig-ic,nieuw-ic,ic-bedden,laatste-update
1/22/20,0,,0,,,,,,,
1/23/20,0,0,0,0,,,,,,
1/24/20,0,0,0,0,,,,,,
1/25/20,0,0,0,0,,,,,,
1/26/20,0,0,0,0,,,,,,
1/27/20,0,0,0,0,,,,,,
1/28/20,0,0,0,0,,,,,,
1/29/20,0,0,0,0,,,,,,
1/30/20,0,0,0,0,,,,,,
1/31/20,0,0,0,0,,,,,,
2/1/20,0,0,0,0,,,,,,
2/2/20,0,0,0,0,,,,,,
2/3/20,0,0,0,0,,,,,,
2/4/20,0,0,0,0,,,,,,
2/5/20,0,0,0,0,,,,,,
2/6/20,0,0,0,0,,,,,,
2/7/20,0,0,0,0,,,,,,
2/8/20,0,0,0,0,,,,,,
2/9/20,0,0,0,0,,,,,,
2/10/20,0,0,0,0,,,,,,
2/11/20,0,0,0,0,,,,,,
2/12/20,0,0,0,0,,,1,,,
2/13/20,0,0,0,0,,,,,,
2/14/20,0,0,0,0,,,,,,
2/15/20,0,0,0,0,,,,,,
2/16/20,0,0,0,0,,,,,,
2/17/20,0,0,0,0,,,,,,
2/18/20,0,0,0,0,,,,,,
2/19/20,0,0,0,0,,,,,,
2/20/20,0,0,0,0,,,,,,
2/21/20,0,0,0,0,,,2,1,925,
2/22/20,0,0,0,0,,,,0,925,
2/23/20,0,0,0,0,,,,0,925,
2/24/20,0,0,0,0,,,,0,925,
2/25/20,0,0,0,0,,,3,1,925,
2/26/20,0,0,0,0,,,,0,925,
2/27/20,1,1,0,0,,,,0,925,
2/28/20,1,0,0,0,,,3,0,925,
2/29/20,6,5,0,0,,,4,0,925,
3/1/20,10,4,0,0,,,5,1,925,
3/2/20,18,8,0,0,,,,0,925,
3/3/20,24,6,0,0,,,6,0,925,
3/4/20,38,14,0,0,,,9,3,925,
3/5/20,82,44,0,0,,,10,1,925,
3/6/20,128,46,1,1,,,12,2,925,
3/7/20,188,60,1,0,,,14,3,925,
3/8/20,265,77,3,2,,,18,5,925,
3/9/20,321,56,3,0,,,22,5,925,
3/10/20,382,61,4,1,,,30,8,925,
3/11/20,503,121,5,1,,,38,6,925,
3/12/20,614,111,5,0,86,,59,22,925,
3/13/20,804,190,10,5,115,29,69,14,925,
3/14/20,959,155,12,2,136,21,86,17,925,
3/15/20,1135,176,20,8,162,26,111,27,925,
3/16/20,1413,278,24,4,205,43,140,33,925,
3/17/20,1705,292,43,19,314,109,169,35,925,
3/18/20,2051,346,58,15,408,94,221,51,925,
3/19/20,2460,409,76,18,489,81,271,58,925,
3/20/20,2994,534,106,30,643,154,350,86,925,
3/21/20,3631,637,136,30,836,193,413,69,925,
3/22/20,4204,573,179,43,988,152,461,70,925,
3/23/20,4749,545,213,34,1230,242,554,102,925,
3/24/20,5560,811,276,63,1495,265,636,108,925,
3/25/20,6412,852,356,80,1836,341,732,114,925,
3/26/20,7431,1019,434,78,2151,315,816,98,925,
3/27/20,8603,1172,546,112,2500,349,897,110,925,
3/28/20,9762,1159,639,93,2954,454,956,98,1100,
3/29/20,10866,1104,771,132,3483,529,1021,91,1100,
3/30/20,11750,884,864,93,3990,507,1093,120,1100,16:00
3/31/20,12595,845,1039,175,4712,722,1149,-,1100,22:00
4/1/20,13614,1019,1173,134,5159,447,1120,-,1100,14:00
